eval_id	bench_id	eval_cmd	eval_params	eval_comp_id	eval_comp_id_is_truth	eval_truth_regions	eval_target_regions	vc_id	bench_type	bench_vcf_processing	bench_bed_processing	exclusion_set	asm_id	ref	vc_cmd	vc_param_id	vc_params
GRCh37-HG002_T~HPRC-dipz2k_Q~v0.6	GRCh37_HG002-HPRC-dipz2k_stvar-exclude	truvari	default	v0.6	True	True	True	GRCh37_HG002-HPRC-dipz2k	stvar	svwiden	exclude	stvarall	HG2-HPRC-20211005	GRCh37	dipcall	z2k	-z200000,10000
GRCh37-HG002_T~HPRC-dipz2k_Q~CRMGv1.00	GRCh37_HG002-HPRC-dipz2k_stvar-exclude	truvari	default	CMRGv1.00-stvar	True	True	True	GRCh37_HG002-HPRC-dipz2k	stvar	svwiden	exclude	stvarall	HG2-HPRC-20211005	GRCh37	dipcall	z2k	-z200000,10000
GRCh38-HG002_T~HPRC-dipz2k_Q~CRMGv1.00	GRCh38_HG002-HPRC-dipz2k_stvar-exclude	truvari	default	CMRGv1.00-stvar	True	True	True	GRCh38_HG002-HPRC-dipz2k	stvar	svwiden	exclude	stvarall	HG2-HPRC-20211005	GRCh38	dipcall	z2k	-z200000,10000
GRCh37-HG002_T~v0.6_Q~verrkoV1.1-V0.6-dip2k	GRCh37_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	v0.6	True	True	True	GRCh37_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh37	dipcall	z2k	-z200000,10000
GRCh37-HG002_T~CRMGv1.00_Q~verrkoV1.1-V0.6-dipz2k	GRCh37_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	CMRGv1.00-stvar	True	True	True	GRCh37_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh37	dipcall	z2k	-z200000,10000
GRCh38-HG002_T~CRMGv1.00_Q~verrkoV1.1-V0.6-dipz2k	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	CMRGv1.00-stvar	True	True	True	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh38	dipcall	z2k	-z200000,10000
GRCh38-HG002_T~verrkoV1.1-V0.6-dipz2k_Q~sentLRSV-ontR9	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	HG2-sentLRSV-ontR9	False	True	False	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh38	dipcall	z2k	-z200000,10000
GRCh38-HG002_T~verrkoV1.1-V0.6-dipz2k_Q~sentLRSV-pbhifi	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	HG2-sentLRSV-pbhifi	False	True	False	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh38	dipcall	z2k	-z200000,10000
GRCh38-HG002_T~verrkoV1.1-V0.6-dipz2k_Q~pbHiFichem2.2	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	HG2-sentLRSV-pbHiFichem2.2	False	True	False	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh38	dipcall	z2k	-z200000,10000
GRCh38-HG002_T~verrkoV1.1-V0.6-dipz2k_Q~sentLRSV-q20.guppy5.80x	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	HG2-sentLRSV-q20.guppy5.80x	False	True	False	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh38	dipcall	z2k	-z200000,10000
GRCh38-HG002_T~verrkoV1.1-V0.6-dipz2k_Q~Pangenome-DV-38	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k_smvar-exclude	happy	default	HG2-Pangenome-DV-38	False	True	False	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k	smvar	svwiden	exclude	smvarall	HG2-verrkoV1.1-V0.6	GRCh38	dipcall	z2k	-z200000,10000
GRCh38-HG002_T~verrkoV1.1-V0.6-dipz2k_Q~Pangenome-DT-38	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k_smvar-exclude	unhappy	default	HG2-Pangenome-DT-38	False	True	False	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k	smvar	svwiden	exclude	smvarall	HG2-verrkoV1.1-V0.6	GRCh38	dipcall	z2k	-z200000,10000
GRCh38-HG002_T~verrkoV1.1-V0.6-dipz2k_Q~Pangenie-SV-38	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k_stvar-exclude	truvari	default	HG2-Pangenie-SV-38	False	True	False	GRCh38_HG002-verrkoV1.1-V0.6-dipz2k	stvar	svwiden	exclude	stvarall	HG2-verrkoV1.1-V0.6	GRCh38	dipcall	z2k	-z200000,10000
