eval_id	bench_id	eval_cmd	eval_params	eval_comp_id	eval_comp_id_is_truth	eval_truth_regions	eval_target_regions	vc_id	bench_type	bench_vcf_processing	bench_bed_processing	exclusion_set	asm_id	ref	vc_cmd	vc_param_id	vc_params
GRCh38_T~HG002-T2TQ100v1.0-dipz2k_Q~v4.2.1_TR~4.2.1	GRCh38_HG002-T2TQ100v1.0-dipz2k_smvar-excluded	happy	default	v4.2.1	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v1.0-dipz2k	smvar	fix_XY_genotype	exclude	smvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-T2TQ100v1.0-dipz2k_Q~HG2-HPRCcur.20211005-DB	GRCh38_HG002-T2TQ100v1.0-dipz2k_smvar-excluded	happy	default	HG2-HPRCcur.20211005-DB	FALSE	TRUE	TRUE	GRCh38_HG002-T2TQ100v1.0-dipz2k	smvar	fix_XY_genotype	exclude	smvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-T2TQ100v1.0-dipz2k_Q~HifiDV_TR~none	GRCh38_HG002-T2TQ100v1.0-dipz2k_smvar-excluded	happy	default	HG2-HifiDV-38	FALSE	TRUE	FALSE	GRCh38_HG002-T2TQ100v1.0-dipz2k	smvar	fix_XY_genotype	exclude	smvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	GRCh38	dipcall	z2k	-z200000,10000
GRCh38_T~HG002-CRMGv1.00_Q~HG002-T2TQ100v1.0	GRCh38_HG002-T2TQ100v1.0-dipz2k_stvar-excluded	truvari	default	CMRGv1.00-stvar	FALSE	TRUE	True	GRCh38_HG002-T2TQ100v1.0-dipz2k	stvar	norm.trfanno.svinfo.repmask.lcr	exclude	stvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	GRCh38	dipcall	z2k	-z200000,10000
GRCh37_T~HG002-T2TQ100v1.0-dipz2k_Q~HG2-sentLRSV-q20.guppy5.80x	GRCh37_HG002-T2TQ100v1.0-dipz2k_stvar-excluded	truvari	default	HG2-sentLRSV-q20.guppy5.80x	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.0-dipz2k	stvar	norm.trfanno.svinfo.repmask.lcr.remap	exclude	stvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_T~HG002-T2TQ100v1.0-dipz2k_Q~v4.2.1_TR~4.2.1	GRCh37_HG002-T2TQ100v1.0-dipz2k_smvar-excluded	happy	default	v4.2.1	FALSE	TRUE	TRUE	GRCh37_HG002-T2TQ100v1.0-dipz2k	smvar	fix_XY_genotype	exclude	smvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	GRCh37	dipcall	z2k	-z200000,10000
GRCh37_T~HG002-v0.6_Q~HG002-T2TQ100v1.0	GRCh37_HG002-T2TQ100v1.0-dipz2k_stvar-excluded	truvari	default	v0.6	FALSE	TRUE	FALSE	GRCh37_HG002-T2TQ100v1.0-dipz2k	stvar	norm.trfanno.svinfo.repmask.lcr.remap	exclude	stvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	GRCh37	dipcall	z2k	-z200000,10000
CHM13_T~HG002-T2TQ100v1.0-dipz2k_Q~HG2-ILMN-CHM13v2	CHM13_HG002-T2TQ100v1.0-dipz2k_smvar-excluded	happy	default	HG2-ILMN-CHM13v2	FALSE	TRUE	FALSE	CHM13_HG002-T2TQ100v1.0-dipz2k	smvar	fix_XY_genotype	exclude	smvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	CHM13v2.0	dipcall	z2k	-z200000,10000
CHM13_T~HG002-T2TQ100v1.0-dipz2k_Q~HG2-Hifi-DV-CHM13v2	CHM13_HG002-T2TQ100v1.0-dipz2k_smvar-excluded	happy	default	HG2-Hifi-DV-CHM13v2	FALSE	TRUE	FALSE	CHM13_HG002-T2TQ100v1.0-dipz2k	smvar	fix_XY_genotype	exclude	smvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	CHM13v2.0	dipcall	z2k	-z200000,10000
CHM13_T~HG002-T2TQ100v1.0-dipz2k_Q~HG2-HG2-Sniffles2-CHM13v2	CHM13_HG002-T2TQ100v1.0-dipz2k_stvar-excluded	truvari	default	HG2-Sniffles2-CHM13v2	FALSE	TRUE	FALSE	CHM13_HG002-T2TQ100v1.0-dipz2k	stvar	norm.trfanno.svinfo.repmask.lcr.remap	exclude	stvarallwlongHPnoSelfChainExVDJ	HG2-T2TQ100-V1.0	CHM13v2.0	dipcall	z2k	-z200000,10000
